NI,NI,I,I,I,NI,,,,,,User,,Irony%,,NON-Irony%
0,0,0,5,0,0,,,,,,1,,14.37190455,,12.03511932
0,0,0,5,0,0,,,,,,2,,23.14351852,,14.03311258
0,5,0,0,0,0,,,,,,3,,23.23766816,,21.09735269
0,5,0,0,0,0,,,,,,AVG,,20.25103041,,15.72186153
0,0,0,0,0,0,,,,,,,,,,
0,0,0,0,0,0,,,,,,,,,,
0,0,0,0,5,0,,,,,,,,,,
5,0,5,0,5,0,,,,,,,,,,
0,0,0,0,0,0,,,,,,,,,,
0,3,0,0,0,0,,,,,,User,,Irony%,,N-Irony%
0,0,0,3,2,5,,,,,,1,,87.93,,47.97
0,3,0,3,0,0,,,,,,2,,60.65,,56.78
3,3,3,5,5,0,,,,,,3,,85.43,,56.3
3,0,3,1,3,4,,,,,,4,,78.63,,49.68
3,3,3,1,0,5,,,,,,5,,89.2,,57.94
0,3,0,1,0,0,,,,,,6,,66.4,,41.32
0,3,0,1,3,0,,,,,,7,,83.86,,53.23
0,0,0,2,0,0,,,,,,8,,62.12,,48.89
0,0,0,7,0,0,,,,,,9,,87.74,,49.22
0,3,0,2,3,3,,,,,,10,,71.48,,55.68
0,0,0,4,0,0,,,,,,AVG,,77.344,,51.701
0,2,0,2,3,0,,,,,,,,,,
3,0,3,2,3,0,,,,,,,,MIN:60,,Max:60
3,0,3,2,3,0,,,,,,,,,,
0,2,0,1,3,0,,,,,,,,,,
3,2,3,1,3,0,,,,,,,,,,
0,1,0,5,3,3,,,,,,,,,,
3,1,3,2,0,3,,,,,,,,,,
0,8,0,3,3,3,,,,,,,,,,
0,2,0,3,0,3,,,,,,,,,,
0,0,0,2,0,3,,,,,,,,,,
0,4,0,2,0,0,,,,,,,,,,
0,0,0,2,0,0,,,,,,,,,,
0,1,0,3,0,0,,,,,,,,,,
2,1,2,1,1,0,,,,,,,,,,
0,1,0,6,1,0,,,,,,,,,,
3,1,3,1,2,4,,,,,,,,,,
0,6,0,1,2,1,,,,,,,,,,
4,1,4,3,2,0,,,,,,,,,,
0,2,0,0,1,3,,,,,,,,,,
2,0,2,1,2,4,,,,,,,,,,
0,3,0,1,1,2,,,,,,,,,,
0,5,0,4,9,2,,,,,,,,,,
0,1,0,4,1,1,,,,,,,,,,
1,1,1,0,8,2,,,,,,,,,,
4,4,4,3,0,2,,,,,,,,,,
1,0,1,8,2,8,,,,,,,,,,
2,7,2,5,4,5,,,,,,,,,,
1,4,1,2,1,2,,,,,,,,,,
8,1,8,3,1,2,,,,,,,,,,
2,1,2,3,1,5,,,,,,,,,,
2,3,2,8,0,0,,,,,,,,,,
4,3,4,0,1,1,,,,,,,,,,
3,2,3,1,6,2,,,,,,,,,,
4,0,4,6,2,1,,,,,,,,,,
0,0,0,5,5,0,,,,,,,,,,
1,0,1,0,1,1,,,,,,,,,,
2,2,2,3,1,3,,,,,,,,,,
1,0,1,1,1,0,,,,,,,,,,
1,1,1,6,2,0,,,,,,,,,,
1,0,1,5,4,3,,,,,,,,,,
6,1,6,5,0,1,,,,,,,,,,
1,2,1,4,2,0,,,,,,,,,,
3,0,3,0,1,0,,,,,,,,,,
3,4,3,6,3,2,,,,,,,,,,
1,4,1,2,2,1,,,,,,,,,,
1,0,1,2,0,1,,,,,,,,,,
1,0,1,1,5,2,,,,,,,,,,
4,1,4,3,3,3,,,,,,,,,,
0,3,0,1,8,0,,,,,,,,,,
0,3,0,5,0,1,,,,,,,,,,
4,3,4,3,4,5,,,,,,,,,,
1,3,1,0,3,3,,,,,,,,,,
3,0,3,28,0,0,,,,,,,,,,
0,1,0,1,4,0,,,,,,,,,,
2,2,2,28,0,3,,,,,,,,,,
1,2,1,1,0,2,,,,,,,,,,
5,5,5,3,2,0,,,,,,,,,,
3,3,3,3,4,8,,,,,,,,,,
3,2,3,6,0,4,,,,,,,,,,
2,4,2,3,3,3,,,,,,,,,,
2,5,2,3,0,2,,,,,,,,,,
0,2,0,2,2,0,,,,,,,,,,
0,2,0,2,4,0,,,,,,,,,,
4,1,4,2,2,1,,,,,,,,,,
3,0,3,1,2,6,,,,,,,,,,
1,3,1,6,2,1,,,,,,,,,,
0,0,0,2,3,4,,,,,,,,,,
1,0,1,2,2,3,,,,,,,,,,
1,3,1,3,4,2,,,,,,,,,,
4,0,4,1,3,0,,,,,,,,,,
2,0,2,2,3,2,,,,,,,,,,
3,4,3,5,2,1,,,,,,,,,,
1,4,1,2,10,0,,,,,,,,,,
2,3,2,3,3,0,,,,,,,,,,
2,2,2,0,2,2,,,,,,,,,,
3,1,3,4,5,2,,,,,,,,,,
1,5,1,0,2,2,,,,,,,,,,
0,0,0,3,2,4,,,,,,,,,,
3,2,3,3,2,4,,,,,,,,,,
2,2,2,4,1,2,,,,,,,,,,
0,3,0,1,1,1,,,,,,,,,,
3,0,3,4,0,2,,,,,,,,,,
2,0,2,2,2,2,,,,,,,,,,
4,0,4,3,1,3,,,,,,,,,,
3,3,3,0,0,1,,,,,,,,,,
2,0,2,2,1,3,,,,,,,,,,
1,2,1,3,0,1,,,,,,,,,,
28,2,28,3,0,2,,,,,,,,,,
0,1,0,2,3,10,,,,,,,,,,
3,3,3,1,0,1,,,,,,,,,,
1,0,1,3,5,0,,,,,,,,,,
2,3,2,1,2,3,,,,,,,,,,
5,5,5,1,2,1,,,,,,,,,,
0,0,0,3,0,0,,,,,,,,,,
2,0,2,2,4,2,,,,,,,,,,
3,1,3,0,0,3,,,,,,,,,,
2,0,2,2,0,6,,,,,,,,,,
7,0,7,2,3,0,,,,,,,,,,
0,0,0,5,1,0,,,,,,,,,,
0,0,0,5,1,3,,,,,,,,,,
0,1,0,3,1,2,,,,,,,,,,
3,4,3,2,0,2,,,,,,,,,,
0,0,0,3,0,1,,,,,,,,,,
2,5,2,3,0,1,,,,,,,,,,
2,2,2,1,3,3,,,,,,,,,,
1,5,1,3,0,2,,,,,,,,,,
3,2,3,1,2,5,,,,,,,,,,
3,2,3,1,0,2,,,,,,,,,,
1,3,1,5,2,10,,,,,,,,,,
2,4,2,4,1,0,,,,,,,,,,
2,3,2,3,0,0,,,,,,,,,,
3,3,3,0,1,2,,,,,,,,,,
1,2,1,3,0,4,,,,,,,,,,
5,3,5,3,0,2,,,,,,,,,,
0,2,0,3,3,3,,,,,,,,,,
4,1,4,3,1,5,,,,,,,,,,
0,3,0,1,1,2,,,,,,,,,,
2,8,2,2,2,4,,,,,,,,,,
3,2,3,1,0,4,,,,,,,,,,
1,3,1,2,1,0,,,,,,,,,,
0,3,0,3,1,2,,,,,,,,,,
1,2,1,3,1,2,,,,,,,,,,
0,1,0,3,11,1,,,,,,,,,,
0,2,0,1,1,2,,,,,,,,,,
0,3,0,0,1,0,,,,,,,,,,
0,3,0,6,2,1,,,,,,,,,,
2,1,2,12,1,2,,,,,,,,,,
3,2,3,7,5,13,,,,,,,,,,
1,3,1,3,7,3,,,,,,,,,,
0,1,0,4,4,0,,,,,,,,,,
0,3,0,4,0,1,,,,,,,,,,
2,0,2,1,3,1,,,,,,,,,,
1,2,1,1,2,3,,,,,,,,,,
0,12,0,7,2,1,,,,,,,,,,
0,7,0,1,3,7,,,,,,,,,,
3,0,3,3,0,4,,,,,,,,,,
9,3,9,2,0,3,,,,,,,,,,
2,3,2,4,1,2,,,,,,,,,,
7,1,7,2,6,2,,,,,,,,,,
3,2,3,0,1,1,,,,,,,,,,
3,2,3,0,4,0,,,,,,,,,,
2,7,2,7,2,0,,,,,,,,,,
1,4,1,1,7,1,,,,,,,,,,
2,0,2,6,1,3,,,,,,,,,,
5,3,5,3,2,0,,,,,,,,,,
1,4,1,1,1,0,,,,,,,,,,
4,4,4,4,0,0,,,,,,,,,,
2,2,2,2,5,6,,,,,,,,,,
1,1,1,2,3,1,,,,,,,,,,
2,1,2,2,5,4,,,,,,,,,,
0,3,0,3,2,7,,,,,,,,,,
0,1,0,3,0,2,,,,,,,,,,
0,3,0,1,3,10,,,,,,,,,,
6,5,6,3,2,5,,,,,,,,,,
1,1,1,4,4,2,,,,,,,,,,
4,1,4,11,7,2,,,,,,,,,,
0,1,0,4,4,5,,,,,,,,,,
5,1,5,3,3,2,,,,,,,,,,
2,5,2,1,4,0,,,,,,,,,,
5,0,5,7,1,3,,,,,,,,,,
1,3,1,0,2,2,,,,,,,,,,
3,0,3,4,3,4,,,,,,,,,,
2,0,2,2,1,2,,,,,,,,,,
0,0,0,5,2,4,,,,,,,,,,
1,1,1,2,2,3,,,,,,,,,,
1,7,1,3,3,3,,,,,,,,,,
4,6,4,1,4,3,,,,,,,,,,
2,5,2,5,3,0,,,,,,,,,,
3,1,3,1,2,2,,,,,,,,,,
0,2,0,1,7,2,,,,,,,,,,
1,2,1,3,0,0,,,,,,,,,,
2,0,2,2,5,5,,,,,,,,,,
2,0,2,4,3,3,,,,,,,,,,
3,3,3,1,0,4,,,,,,,,,,
5,6,5,2,0,1,,,,,,,,,,
3,2,3,2,0,2,,,,,,,,,,
1,2,1,2,0,3,,,,,,,,,,
4,0,4,2,5,1,,,,,,,,,,
0,3,0,2,0,4,,,,,,,,,,
3,1,3,2,1,5,,,,,,,,,,
1,3,1,7,3,0,,,,,,,,,,
3,6,3,4,2,0,,,,,,,,,,
1,1,1,0,3,1,,,,,,,,,,
3,4,3,5,2,5,,,,,,,,,,
2,4,2,2,3,1,,,,,,,,,,
3,2,3,2,1,1,,,,,,,,,,
3,1,3,0,2,2,,,,,,,,,,
1,0,1,3,3,3,,,,,,,,,,
1,1,1,0,1,3,,,,,,,,,,
0,5,0,2,0,3,,,,,,,,,,
0,7,0,1,1,12,,,,,,,,,,
2,1,2,1,12,3,,,,,,,,,,
3,6,3,3,3,4,,,,,,,,,,
2,2,2,2,7,6,,,,,,,,,,
3,2,3,0,3,7,,,,,,,,,,
1,1,1,2,0,1,,,,,,,,,,
2,1,2,3,7,3,,,,,,,,,,
1,0,1,3,1,3,,,,,,,,,,
0,0,0,3,3,2,,,,,,,,,,
2,1,2,2,1,1,,,,,,,,,,
3,2,3,4,1,7,,,,,,,,,,
1,5,1,2,3,2,,,,,,,,,,
1,1,1,5,0,1,,,,,,,,,,
0,1,0,1,2,0,,,,,,,,,,
0,4,0,1,1,1,,,,,,,,,,
12,1,12,1,3,4,,,,,,,,,,
7,1,7,5,2,4,,,,,,,,,,
3,0,3,7,4,1,,,,,,,,,,
4,3,4,4,1,6,,,,,,,,,,
2,0,2,2,7,1,,,,,,,,,,
6,6,6,1,3,1,,,,,,,,,,
1,1,1,4,0,4,,,,,,,,,,
3,4,3,2,1,2,,,,,,,,,,
1,3,1,1,1,2,,,,,,,,,,
3,1,3,3,1,1,,,,,,,,,,
2,1,2,4,1,2,,,,,,,,,,
0,4,0,1,1,1,,,,,,,,,,
3,4,3,3,6,2,,,,,,,,,,
5,0,5,2,2,4,,,,,,,,,,
3,0,3,1,3,3,,,,,,,,,,
0,1,0,1,4,1,,,,,,,,,,
7,3,7,2,2,0,,,,,,,,,,
2,1,2,4,1,5,,,,,,,,,,
4,1,4,1,2,2,,,,,,,,,,
4,7,4,2,4,1,,,,,,,,,,
0,9,0,1,1,3,,,,,,,,,,
2,1,2,1,2,0,,,,,,,,,,
4,0,4,1,1,1,,,,,,,,,,
0,0,0,3,1,2,,,,,,,,,,
0,1,0,2,0,11,,,,,,,,,,
3,5,3,3,1,1,,,,,,,,,,
3,4,3,4,1,7,,,,,,,,,,
4,1,4,3,1,0,,,,,,,,,,
1,7,1,3,0,5,,,,,,,,,,
4,3,4,6,3,6,,,,,,,,,,
4,4,4,3,4,6,,,,,,,,,,
3,0,3,0,2,7,,,,,,,,,,
6,1,6,1,7,5,,,,,,,,,,
2,3,2,2,3,1,,,,,,,,,,
3,1,3,6,2,2,,,,,,,,,,
0,2,0,1,6,3,,,,,,,,,,
1,3,1,1,2,3,,,,,,,,,,
1,6,1,0,1,1,,,,,,,,,,
5,2,5,6,0,2,,,,,,,,,,
1,3,1,2,6,2,,,,,,,,,,
4,1,4,1,2,6,,,,,,,,,,
1,1,1,1,0,1,,,,,,,,,,
1,3,1,2,4,3,,,,,,,,,,
4,1,4,2,1,4,,,,,,,,,,
1,2,1,7,3,1,,,,,,,,,,
11,2,11,4,3,2,,,,,,,,,,
3,3,3,2,0,7,,,,,,,,,,
0,2,0,5,7,6,,,,,,,,,,
2,1,2,1,7,3,,,,,,,,,,
0,2,0,8,8,8,,,,,,,,,,
1,1,1,4,1,0,,,,,,,,,,
1,4,1,3,2,1,,,,,,,,,,
3,4,3,2,2,0,,,,,,,,,,
3,2,3,3,2,2,,,,,,,,,,
1,3,1,2,2,2,,,,,,,,,,
3,2,3,13,2,3,,,,,,,,,,
1,2,1,5,4,4,,,,,,,,,,
1,5,1,1,5,1,,,,,,,,,,
2,1,2,3,3,5,,,,,,,,,,
1,1,1,1,2,2,,,,,,,,,,
1,2,1,1,6,5,,,,,,,,,,
7,0,7,7,1,2,,,,,,,,,,
3,3,3,1,1,1,,,,,,,,,,
0,6,0,1,1,3,,,,,,,,,,
6,6,6,4,3,0,,,,,,,,,,
5,1,5,4,2,1,,,,,,,,,,
2,0,2,0,2,2,,,,,,,,,,
5,1,5,0,1,3,,,,,,,,,,
2,1,2,4,4,1,,,,,,,,,,
7,0,7,1,2,3,,,,,,,,,,
0,1,0,1,2,7,,,,,,,,,,
2,1,2,6,2,3,,,,,,,,,,
1,1,1,1,3,2,,,,,,,,,,
3,3,3,1,4,1,,,,,,,,,,
1,4,1,2,1,2,,,,,,,,,,
2,1,2,4,1,3,,,,,,,,,,
1,2,1,6,7,0,,,,,,,,,,
1,2,1,3,3,5,,,,,,,,,,
2,1,2,6,3,1,,,,,,,,,,
0,4,0,2,1,2,,,,,,,,,,
7,1,7,2,1,2,,,,,,,,,,
3,4,3,2,1,1,,,,,,,,,,
8,0,8,1,1,2,,,,,,,,,,
0,4,0,1,2,2,,,,,,,,,,
3,0,3,1,0,3,,,,,,,,,,
2,1,2,2,2,1,,,,,,,,,,
2,1,2,2,2,3,,,,,,,,,,
0,1,0,1,2,1,,,,,,,,,,
1,6,1,2,2,1,,,,,,,,,,
3,4,3,5,2,2,,,,,,,,,,
4,2,4,1,11,3,,,,,,,,,,
4,2,4,1,1,3,,,,,,,,,,
3,2,3,2,3,2,,,,,,,,,,
3,0,3,1,1,2,,,,,,,,,,
1,1,1,1,4,3,,,,,,,,,,
5,0,5,1,3,3,,,,,,,,,,
2,0,2,1,0,3,,,,,,,,,,
2,3,2,1,2,4,,,,,,,,,,
3,7,3,3,3,4,,,,,,,,,,
3,1,3,3,6,1,,,,,,,,,,
1,0,1,5,3,0,,,,,,,,,,
1,7,1,0,3,5,,,,,,,,,,
1,2,1,3,7,4,,,,,,,,,,
2,2,2,2,3,1,,,,,,,,,,
2,1,2,1,1,0,,,,,,,,,,
1,1,1,1,1,3,,,,,,,,,,
0,2,0,2,2,2,,,,,,,,,,
2,1,2,7,4,0,,,,,,,,,,
2,0,2,0,1,3,,,,,,,,,,
3,4,3,2,0,1,,,,,,,,,,
4,4,4,1,0,13,,,,,,,,,,
3,2,3,1,3,2,,,,,,,,,,
1,2,1,2,3,1,,,,,,,,,,
0,0,0,2,1,1,,,,,,,,,,
0,3,0,3,2,1,,,,,,,,,,
1,0,1,1,1,1,,,,,,,,,,
2,0,2,1,1,2,,,,,,,,,,
3,3,3,1,3,2,,,,,,,,,,
1,2,1,7,1,5,,,,,,,,,,
1,2,1,1,1,1,,,,,,,,,,
2,2,2,1,0,1,,,,,,,,,,
5,1,5,1,1,0,,,,,,,,,,
1,1,1,1,9,3,,,,,,,,,,
1,0,1,1,3,1,,,,,,,,,,
1,0,1,1,4,3,,,,,,,,,,
1,0,1,1,1,2,,,,,,,,,,
2,1,2,2,1,1,,,,,,,,,,
1,2,1,7,0,5,,,,,,,,,,
1,1,1,5,8,2,,,,,,,,,,
1,0,1,4,2,3,,,,,,,,,,
3,3,3,4,0,3,,,,,,,,,,
0,1,0,3,2,5,,,,,,,,,,
2,1,2,3,1,2,,,,,,,,,,
0,1,0,2,9,1,,,,,,,,,,
3,0,3,3,1,0,,,,,,,,,,
0,2,0,1,1,1,,,,,,,,,,
4,2,4,2,5,4,,,,,,,,,,
3,0,3,3,0,3,,,,,,,,,,
0,1,0,4,2,2,,,,,,,,,,
1,2,1,2,1,2,,,,,,,,,,
2,1,2,4,5,3,,,,,,,,,,
1,0,1,1,3,2,,,,,,,,,,
5,4,5,2,1,1,,,,,,,,,,
1,3,1,3,2,0,,,,,,,,,,
6,0,6,1,0,1,,,,,,,,,,
0,1,0,3,0,0,,,,,,,,,,
1,2,1,1,1,0,,,,,,,,,,
2,1,2,2,0,2,,,,,,,,,,
0,5,0,0,0,3,,,,,,,,,,
3,1,3,5,1,1,,,,,,,,,,
3,3,3,2,1,0,,,,,,,,,,
0,2,0,1,0,2,,,,,,,,,,
0,3,0,4,0,2,,,,,,,,,,
2,1,2,4,2,1,,,,,,,,,,
4,5,4,3,0,1,,,,,,,,,,
1,3,1,9,2,1,,,,,,,,,,
1,1,1,2,1,3,,,,,,,,,,
2,2,2,2,0,3,,,,,,,,,,
3,1,3,3,4,2,,,,,,,,,,
3,2,3,3,0,1,,,,,,,,,,
2,1,2,2,0,4,,,,,,,,,,
1,0,1,2,2,0,,,,,,,,,,
6,2,6,1,3,2,,,,,,,,,,
0,2,0,0,1,3,,,,,,,,,,
1,2,1,1,2,1,,,,,,,,,,
5,2,5,2,5,1,,,,,,,,,,
4,0,4,0,3,2,,,,,,,,,,
2,1,2,1,3,5,,,,,,,,,,
0,0,0,0,2,0,,,,,,,,,,
3,2,3,1,2,5,,,,,,,,,,
2,1,2,3,1,2,,,,,,,,,,
1,2,1,1,3,2,,,,,,,,,,
3,2,3,2,3,2,,,,,,,,,,
1,3,1,2,1,3,,,,,,,,,,
5,3,5,2,0,1,,,,,,,,,,
7,1,7,1,3,1,,,,,,,,,,
2,0,2,0,2,1,,,,,,,,,,
7,2,7,1,1,0,,,,,,,,,,
2,1,2,4,1,0,,,,,,,,,,
1,2,1,1,1,0,,,,,,,,,,
1,2,1,4,2,1,,,,,,,,,,
0,3,0,1,2,0,,,,,,,,,,
3,1,3,2,4,1,,,,,,,,,,
1,2,1,3,5,10,,,,,,,,,,
5,1,5,2,2,1,,,,,,,,,,
0,3,0,0,1,0,,,,,,,,,,
2,5,2,0,1,0,,,,,,,,,,
4,5,4,1,3,1,,,,,,,,,,
1,3,1,4,2,2,,,,,,,,,,
1,0,1,1,2,7,,,,,,,,,,
0,0,0,2,0,0,,,,,,,,,,
2,0,2,4,0,2,,,,,,,,,,
4,0,4,2,1,1,,,,,,,,,,
0,2,0,2,2,2,,,,,,,,,,
2,4,2,1,2,1,,,,,,,,,,
1,3,1,3,1,3,,,,,,,,,,
4,2,4,2,4,1,,,,,,,,,,
0,1,0,1,1,0,,,,,,,,,,
1,0,1,2,6,2,,,,,,,,,,
2,0,2,1,1,5,,,,,,,,,,
2,1,2,1,0,1,,,,,,,,,,
1,1,1,2,0,1,,,,,,,,,,
1,1,1,3,2,2,,,,,,,,,,
2,0,2,3,3,1,,,,,,,,,,
3,0,3,2,1,1,,,,,,,,,,
