NI,NI,I,I,I,NI,,,,,,User,,Irony%,,NON-Irony%
1,0,1,3,2,1,,,,,,,,,,
1,0,1,0,0,2,,,,,,,,,,
4,0,4,0,1,6,,,,,,,,,,
1,0,1,0,1,2,,,,,,,,,,
6,0,6,10,1,3,,,,,,,,,,
2,0,2,10,1,7,,,,,,,,,,
7,0,7,2,2,5,,,,,,,,,,
3,0,3,2,3,1,,,,,,,,,,
0,In [ ]:,0,2,3,2,,,,,,,,,,
3,,3,2,3,6,,,,,,,,,,
2,​,2,0,1,1,,,,,,,,,,
1,,1,12,2,1,,,,,,,,,,
2,,2,3,1,1,,,,,,,,,,
0,,0,4,2,0,,,,,,,,,,
2,,2,1,2,2,,,,,,,,,,
0,,0,0,3,7,,,,,,,,,,
1,,1,0,0,1,,,,,,,,,,
1,,1,1,11,2,,,,,,,,,,
1,,1,3,5,0,,,,,,,,,,
1,,1,6,2,3,,,,,,,,,,
3,,3,0,2,2,,,,,,,,,,
1,,1,2,0,4,,,,,,,,,,
2,,2,3,6,6,,,,,,,,,,
3,,3,2,0,1,,,,,,,,,,
1,,1,2,0,4,,,,,,,,,,
2,,2,4,1,2,,,,,,,,,,
2,,2,1,1,2,,,,,,,,,,
3,,3,3,6,3,,,,,,,,,,
2,,2,2,2,2,,,,,,,,,,
3,,3,1,1,2,,,,,,,,,,
4,,4,5,1,1,,,,,,,,,,
3,,3,2,2,2,,,,,,,,,,
1,,1,4,3,1,,,,,,,,,,
1,,1,4,2,7,,,,,,,,,,
4,,4,1,2,0,,,,,,,,,,
3,,3,1,1,1,,,,,,,,,,
1,,1,4,3,1,,,,,,,,,,
2,,2,3,2,3,,,,,,,,,,
6,,6,6,2,3,,,,,,,,,,
3,,3,2,2,1,,,,,,,,,,
0,,0,1,1,1,,,,,,,,,,
0,,0,0,1,2,,,,,,,,,,
0,,0,1,2,2,,,,,,,,,,
1,,1,6,1,7,,,,,,,,,,
3,,3,1,2,1,,,,,,,,,,
5,,5,0,3,3,,,,,,,,,,
5,,5,2,2,0,,,,,,,,,,
6,,6,2,1,3,,,,,,,,,,
2,,2,1,2,0,,,,,,,,,,
1,,1,0,2,2,,,,,,,,,,
3,,3,2,1,1,,,,,,,,,,
0,,0,0,4,1,,,,,,,,,,
1,,1,1,1,1,,,,,,,,,,
6,,6,2,1,1,,,,,,,,,,
1,,1,1,1,4,,,,,,,,,,
2,,2,8,1,3,,,,,,,,,,
0,,0,1,3,3,,,,,,,,,,
2,,2,4,7,1,,,,,,,,,,
2,,2,2,1,2,,,,,,,,,,
2,,2,2,3,4,,,,,,,,,,
1,,1,2,1,3,,,,,,,,,,
8,,8,1,2,1,,,,,,,,,,
1,,1,1,4,1,,,,,,,,,,
0,,0,10,7,2,,,,,,,,,,
0,,0,3,3,2,,,,,,,,,,
1,,1,0,1,2,,,,,,,,,,
3,,3,1,3,2,,,,,,,,,,
2,,2,1,4,1,,,,,,,,,,
3,,3,2,1,4,,,,,,,,,,
2,,2,0,3,0,,,,,,,,,,
7,,7,3,3,1,,,,,,,,,,
1,,1,1,1,4,,,,,,,,,,
6,,6,3,0,2,,,,,,,,,,
6,,6,1,2,3,,,,,,,,,,
1,,1,2,6,1,,,,,,,,,,
3,,3,5,1,0,,,,,,,,,,
1,,1,2,1,1,,,,,,,,,,
7,,7,4,2,2,,,,,,,,,,
1,,1,2,4,5,,,,,,,,,,
1,,1,1,1,0,,,,,,,,,,
9,,9,2,7,6,,,,,,,,,,
2,,2,5,1,1,,,,,,,,,,
1,,1,0,0,1,,,,,,,,,,
2,,2,2,4,4,,,,,,,,,,
2,,2,1,4,1,,,,,,,,,,
2,,2,2,2,3,,,,,,,,,,
2,,2,1,2,1,,,,,,,,,,
7,,7,1,2,1,,,,,,,,,,
0,,0,0,0,1,,,,,,,,,,
1,,1,0,1,1,,,,,,,,,,
3,,3,2,1,2,,,,,,,,,,
0,,0,0,0,1,,,,,,,,,,
0,,0,0,0,0,,,,,,,,,,
1,,1,2,4,1,,,,,,,,,,
1,,1,0,3,8,,,,,,,,,,
1,,1,2,1,1,,,,,,,,,,
0,,0,2,0,1,,,,,,,,,,
3,,3,0,2,1,,,,,,,,,,
2,,2,8,5,1,,,,,,,,,,
3,,3,3,1,3,,,,,,,,,,
1,,1,2,4,1,,,,,,,,,,
0,,0,1,4,1,,,,,,,,,,
2,,2,1,1,0,,,,,,,,,,
0,,0,1,2,3,,,,,,,,,,
1,,1,6,1,1,,,,,,,,,,
0,,0,1,1,2,,,,,,,,,,
1,,1,7,0,1,,,,,,,,,,
1,,1,0,6,1,,,,,,,,,,
0,,0,4,0,1,,,,,,,,,,
2,,2,2,1,5,,,,,,,,,,
1,,1,3,2,4,,,,,,,,,,
0,,0,1,1,0,,,,,,,,,,
5,,5,1,1,6,,,,,,,,,,
1,,1,1,2,3,,,,,,,,,,
2,,2,2,1,1,,,,,,,,,,
1,,1,0,1,0,,,,,,,,,,
1,,1,1,3,1,,,,,,,,,,
6,,6,1,1,2,,,,,,,,,,
0,,0,0,5,1,,,,,,,,,,
1,,1,2,1,0,,,,,,,,,,
1,,1,0,1,0,,,,,,,,,,
4,,4,0,1,0,,,,,,,,,,
1,,1,0,1,1,,,,,,,,,,
3,,3,0,4,2,,,,,,,,,,
2,,2,0,4,5,,,,,,,,,,
1,,1,0,4,1,,,,,,,,,,
3,,3,0,0,2,,,,,,,,,,
3,,3,0,0,2,,,,,,,,,,
1,,1,0,4,5,,,,,,,,,,
0,,0,0,0,2,,,,,,,,,,
1,,1,0,1,0,,,,,,,,,,
2,,2,0,0,3,,,,,,,,,,
0,,0,0,0,3,,,,,,,,,,
2,,2,0,0,1,,,,,,,,,,
5,,5,0,6,2,,,,,,,,,,
3,,3,0,0,1,,,,,,,,,,
1,,1,0,1,6,,,,,,,,,,
2,,2,,2,1,,,,,,,,,,
1,,1,,1,6,,,,,,,,,,
1,,1,​,1,5,,,,,,,,,,
3,,3,,1,2,,,,,,,,,,
0,,0,,0,0,,,,,,,,,,
2,,2,,2,3,,,,,,,,,,
1,,1,,1,4,,,,,,,,,,
2,,2,,2,1,,,,,,,,,,
1,,1,,1,5,,,,,,,,,,
1,,1,,5,1,,,,,,,,,,
2,,2,,0,2,,,,,,,,,,
4,,4,,0,6,,,,,,,,,,
1,,1,,1,5,,,,,,,,,,
0,,0,,2,1,,,,,,,,,,
0,,0,,1,2,,,,,,,,,,
4,,4,,1,1,,,,,,,,,,
1,,1,,4,1,,,,,,,,,,
0,,0,,3,2,,,,,,,,,,
0,,0,,0,4,,,,,,,,,,
0,,0,,4,2,,,,,,,,,,
1,,1,,3,3,,,,,,,,,,
1,,1,,3,1,,,,,,,,,,
3,,3,,3,1,,,,,,,,,,
1,,1,,1,1,,,,,,,,,,
1,,1,,1,2,,,,,,,,,,
2,,2,,1,2,,,,,,,,,,
1,,1,,2,1,,,,,,,,,,
1,,1,,0,6,,,,,,,,,,
1,,1,,0,2,,,,,,,,,,
1,,1,,0,0,,,,,,,,,,
0,,0,,3,6,,,,,,,,,,
2,,2,,4,1,,,,,,,,,,
2,,2,,2,1,,,,,,,,,,
2,,2,,1,1,,,,,,,,,,
1,,1,,5,2,,,,,,,,,,
5,,5,,0,4,,,,,,,,,,
2,,2,,1,2,,,,,,,,,,
2,,2,,6,4,,,,,,,,,,
5,,5,,6,1,,,,,,,,,,
4,,4,,2,3,,,,,,,,,,
3,,3,,5,1,,,,,,,,,,
3,,3,,1,1,,,,,,,,,,
3,,3,,3,3,,,,,,,,,,
1,,1,,2,2,,,,,,,,,,
2,,2,,0,2,,,,,,,,,,
1,,1,,1,2,,,,,,,,,,
1,,1,,2,9,,,,,,,,,,
2,,2,,3,0,,,,,,,,,,
2,,2,,1,4,,,,,,,,,,
0,,0,,1,2,,,,,,,,,,
3,,3,,2,1,,,,,,,,,,
0,,0,,1,1,,,,,,,,,,
1,,1,,1,6,,,,,,,,,,
6,,6,,1,2,,,,,,,,,,
1,,1,,1,0,,,,,,,,,,
2,,2,,1,1,,,,,,,,,,
2,,2,,2,7,,,,,,,,,,
1,,1,,4,2,,,,,,,,,,
1,,1,,4,3,,,,,,,,,,
1,,1,,1,2,,,,,,,,,,
3,,3,,1,1,,,,,,,,,,
2,,2,,1,3,,,,,,,,,,
3,,3,,2,4,,,,,,,,,,
0,,0,,0,1,,,,,,,,,,
1,,1,,3,2,,,,,,,,,,
3,,3,,2,3,,,,,,,,,,
1,,1,,0,0,,,,,,,,,,
2,,2,,3,2,,,,,,,,,,
1,,1,,3,0,,,,,,,,,,
0,,0,,0,1,,,,,,,,,,
1,,1,,3,0,,,,,,,,,,
2,,2,,4,2,,,,,,,,,,
4,,4,,1,1,,,,,,,,,,
1,,1,,2,0,,,,,,,,,,
1,,1,,0,0,,,,,,,,,,
3,,3,,1,10,,,,,,,,,,
1,,1,,1,0,,,,,,,,,,
2,,2,,1,2,,,,,,,,,,
1,,1,,2,1,,,,,,,,,,
1,,1,,1,0,,,,,,,,,,
2,,2,,1,1,,,,,,,,,,
2,,2,,0,4,,,,,,,,,,
3,,3,,1,1,,,,,,,,,,
10,,10,,0,1,,,,,,,,,,
2,,2,,4,4,,,,,,,,,,
3,,3,,1,0,,,,,,,,,,
0,,0,,1,0,,,,,,,,,,
1,,1,,0,5,,,,,,,,,,
1,,1,,1,0,,,,,,,,,,
2,,2,,0,2,,,,,,,,,,
1,,1,,0,3,,,,,,,,,,
4,,4,,7,4,,,,,,,,,,
2,,2,,0,2,,,,,,,,,,
2,,2,,0,1,,,,,,,,,,
1,,1,,4,2,,,,,,,,,,
2,,2,,5,2,,,,,,,,,,
0,,0,,1,2,,,,,,,,,,
1,,1,,2,2,,,,,,,,,,
1,,1,,4,3,,,,,,,,,,
0,,0,,3,0,,,,,,,,,,
7,,7,,5,3,,,,,,,,,,
4,,4,,0,2,,,,,,,,,,
2,,2,,2,1,,,,,,,,,,
0,,0,,2,5,,,,,,,,,,
0,,0,,3,0,,,,,,,,,,
5,,5,,3,0,,,,,,,,,,
2,,2,,3,2,,,,,,,,,,
1,,1,,3,4,,,,,,,,,,
2,,2,,2,1,,,,,,,,,,
2,,2,,0,2,,,,,,,,,,
2,,2,,2,4,,,,,,,,,,
4,,4,,1,3,,,,,,,,,,
2,,2,,0,6,,,,,,,,,,
2,,2,,0,2,,,,,,,,,,
2,,2,,0,2,,,,,,,,,,
3,,3,,1,1,,,,,,,,,,
0,,0,,1,1,,,,,,,,,,
0,,0,,0,5,,,,,,,,,,
3,,3,,1,2,,,,,,,,,,
0,,0,,0,1,,,,,,,,,,
2,,2,,0,0,,,,,,,,,,
1,,1,,0,1,,,,,,,,,,
0,,0,,2,1,,,,,,,,,,
0,,0,,1,3,,,,,,,,,,
1,,1,,2,2,,,,,,,,,,
1,,1,,3,8,,,,,,,,,,
1,,1,,2,0,,,,,,,,,,
0,,0,,2,4,,,,,,,,,,
0,,0,,2,0,,,,,,,,,,
1,,1,,3,3,,,,,,,,,,
0,,0,,0,1,,,,,,,,,,
0,,0,,0,0,,,,,,,,,,
18,,18,,2,0,,,,,,,,,,
0,,0,,0,2,,,,,,,,,,
0,,0,,1,3,,,,,,,,,,
2,,2,,4,1,,,,,,,,,,
1,,1,,1,0,,,,,,,,,,
0,,0,,1,0,,,,,,,,,,
0,,0,,2,0,,,,,,,,,,
1,,1,,2,2,,,,,,,,,,
1,,1,,1,5,,,,,,,,,,
1,,1,,0,5,,,,,,,,,,
4,,4,,3,4,,,,,,,,,,
1,,1,,3,2,,,,,,,,,,
1,,1,,2,2,,,,,,,,,,
2,,2,,2,4,,,,,,,,,,
6,,6,,2,2,,,,,,,,,,
3,,3,,2,1,,,,,,,,,,
0,,0,,10,4,,,,,,,,,,
2,,2,,3,5,,,,,,,,,,
1,,1,,1,0,,,,,,,,,,
3,,3,,5,0,,,,,,,,,,
2,,2,,2,1,,,,,,,,,,
0,,0,,2,1,,,,,,,,,,
2,,2,,1,3,,,,,,,,,,
5,,5,,5,1,,,,,,,,,,
2,,2,,7,2,,,,,,,,,,
6,,6,,4,0,,,,,,,,,,
1,,1,,1,0,,,,,,,,,,
2,,2,,0,3,,,,,,,,,,
4,,4,,2,2,,,,,,,,,,
3,,3,,4,1,,,,,,,,,,
0,,0,,0,1,,,,,,,,,,
1,,1,,0,2,,,,,,,,,,
6,,6,,6,2,,,,,,,,,,
0,,0,,2,2,,,,,,,,,,
2,,2,,0,1,,,,,,,,,,
1,,1,,2,2,,,,,,,,,,
1,,1,,1,5,,,,,,,,,,
0,,0,,1,0,,,,,,,,,,
1,,1,,1,2,,,,,,,,,,
0,,0,,1,1,,,,,,,,,,
8,,8,,1,1,,,,,,,,,,
1,,1,,5,1,,,,,,,,,,
4,,4,,0,6,,,,,,,,,,
3,,3,,2,1,,,,,,,,,,
2,,2,,1,7,,,,,,,,,,
2,,2,,0,2,,,,,,,,,,
1,,1,,1,2,,,,,,,,,,
0,,0,,1,0,,,,,,,,,,
2,,2,,3,0,,,,,,,,,,
2,,2,,8,0,,,,,,,,,,
0,,0,,8,0,,,,,,,,,,
0,,0,,4,3,,,,,,,,,,
3,,3,,1,1,,,,,,,,,,
6,,6,,4,2,,,,,,,,,,
2,,2,,1,1,,,,,,,,,,
0,,0,,1,1,,,,,,,,,,
1,,1,,0,0,,,,,,,,,,
0,,0,,2,2,,,,,,,,,,
3,,3,,2,0,,,,,,,,,,
4,,4,,2,4,,,,,,,,,,
0,,0,,1,0,,,,,,,,,,
5,,5,,1,4,,,,,,,,,,
3,,3,,0,0,,,,,,,,,,
4,,4,,5,0,,,,,,,,,,
4,,4,,5,0,,,,,,,,,,
2,,2,,3,0,,,,,,,,,,
4,,4,,2,0,,,,,,,,,,
5,,5,,0,0,,,,,,,,,,
0,,0,,1,0,,,,,,,,,,
1,,1,,4,0,,,,,,,,,,
2,,2,,2,0,,,,,,,,,,
1,,1,,1,0,,,,,,,,,,
1,,1,,1,0,,,,,,,,,,
0,,0,,1,0,,,,,,,,,,
4,,4,,5,0,,,,,,,,,,
3,,3,,0,0,,,,,,,,,,
2,,2,,3,0,,,,,,,,,,
1,,1,,2,0,,,,,,,,,,
0,,0,,1,0,,,,,,,,,,
2,,2,,0,0,,,,,,,,,,
2,,2,,2,0,,,,,,,,,,
1,,1,,0,0,,,,,,,,,,
2,,2,,0,0,,,,,,,,,,
2,,2,,0,0,,,,,,,,,,
0,,0,,2,0,,,,,,,,,,
1,,1,,1,0,,,,,,,,,,
0,,0,,0,0,,,,,,,,,,
2,,2,,2,0,,,,,,,,,,
3,,3,,2,0,,,,,,,,,,
2,,2,,0,0,,,,,,,,,,
1,,1,,2,0,,,,,,,,,,
1,,1,,1,0,,,,,,,,,,
1,,1,,2,0,,,,,,,,,,
6,,6,,2,0,,,,,,,,,,
4,,4,,0,0,,,,,,,,,,
2,,2,,3,0,,,,,,,,,,
5,,5,,3,0,,,,,,,,,,
3,,3,,0,0,,,,,,,,,,
4,,4,,2,0,,,,,,,,,,
2,,2,,1,0,,,,,,,,,,
0,,0,,1,0,,,,,,,,,,
0,,0,,6,0,,,,,,,,,,
0,,0,,2,0,,,,,,,,,,
0,,0,,4,0,,,,,,,,,,
0,,0,,2,0,,,,,,,,,,
2,,2,,0,0,,,,,,,,,,
2,,2,,0,0,,,,,,,,,,
1,,1,,0,0,,,,,,,,,,
0,,0,,0,0,,,,,,,,,,
1,,1,,1,0,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
2,,2,,0,,,,,,,,,,,
4,,4,,0,,,,,,,,,,,
3,,3,,3,,,,,,,,,,,
0,,0,,2,,,,,,,,,,,
0,,0,,1,,,,,,,,,,,
0,,0,,1,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,2,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,0,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
0,,0,,,,,,,,,,,,,
2555,,In [ ]:,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,​,,,,,,,,,,,,,
,,In [ ]:,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,​,,,,,,,,,,,,,
