,0
0,'
1,'*typo
2,'..
3,'.and
4,'.but
5,'.com
6,'.do
7,'/you/hysterical_banana
8,'100
9,'10bay
10,'10x
11,'12l
12,'1455
13,'18
14,'19
15,'20
16,'2010
17,'2016
18,'2021
19,'2022
20,'2030s
21,'2k22
22,'2m
23,'30
24,'35
25,'35.51
26,'40
27,'42.57
28,'48
29,'50/50
30,'50k
31,'5g
32,'5m
33,'5pm
34,'60ftÂ²
35,'6th
36,'719
37,'72
38,'7pm..
39,'80
40,'995.00
41,'aaa
42,'abbas
43,'abbasØ¹
44,'abbasØ¹the
45,'abet
46,'account
47,'acquisition
48,'act
49,'activity
50,'add
51,'additional
52,'admit
53,'adoption
54,'advance
55,'advocate
56,'aew
57,'afford
58,'afghanistan
59,'afraid
60,'after
61,'age
62,'agency
63,'aggression
64,'agitate
65,'aid
66,'air
67,'aircraft
68,'airspace
69,'al
70,'alex
71,'alexandar
72,'ali
73,'all
74,'allow
75,'allulbayt
76,'along
77,'alpha
78,'also
79,'always
80,'amaze
81,'amazon
82,'ambassador
83,'amc
84,'among
85,'amount
86,'amp
87,'anarchism
88,'and
89,'angel
90,'angry
91,'annex
92,'anniversary
93,'answer
94,'anti
95,'antisemitism
96,'anxiety
97,'apart
98,'apartheid
99,'apps
100,'ar
101,'arabia
102,'aramide
103,'army
104,'art
105,'artillery
106,'as
107,'aspect
108,'assault
109,'assess
110,'aswell
111,'at
112,'ate
113,'atlanta
114,'atrocity
115,'attiah
116,'author
117,'avatar
118,'average
119,'awake
120,'aww
121,'ayo
122,'bab
123,'baby
124,'backðŸ˜‚
125,'bacteria
126,'bad
127,'balance
128,'ban
129,'bani
130,'bank
131,'banner
132,'base
133,'basis
134,'bass
135,'battlefield
136,'bbc
137,'be
138,'because
139,'beckett
140,'become
141,'believe
142,'berylbit
143,'better
144,'bf
145,'bhaskar.dasgupta
146,'bibi
147,'biden
148,'big
149,'billion
150,'billionaire
151,'black/feinstein
152,'blackbloques
153,'blog
154,'bloody
155,'bluetooth
156,'boba
157,'body
158,'boo
159,'booker
160,'booty
161,'bottom
162,'boundary
163,'bow
164,'bowl
165,'boxer
166,'bracelet
167,'brainwash
168,'brand
169,'break
170,'breath
171,'bridge
172,'bro
173,'brock
174,'bros
175,'buddy
176,'budget
177,'build
178,'buoni
179,'business
180,'businessman
181,'but
182,'button
183,'buy
184,'by
185,'byford/the
186,'calendar
187,'calico
188,'calm
189,'camisole
190,'campaign
191,'camuto
192,'canada
193,'cancel
194,'cancer
195,'candidate
196,'car
197,'carbon
198,'cardigan
199,'care
200,'carlson
201,'carrier
202,'carry
203,'case
204,'casualty
205,'category
206,'cdc
207,'celebrate
208,'celery
209,'cent
210,'centre
211,'cg
212,'ch
213,'chance
214,'change
215,'channel
216,'character
217,'charity
218,'charlotte
219,'chart
220,'chatham
221,'cheap
222,'check
223,'cheer
224,'chef
225,'chhandam
226,'chikara
227,'child
228,'china
229,'choice
230,'choose
231,'christianity
232,'christmas
233,'citizen
234,'city
235,'claim
236,'class
237,'classroom
238,'clean-up
239,'cleaner
240,'cliche
241,'click
242,'clicky
243,'close
244,'closet
245,'clothes
246,'club
247,'clubwoman
248,'clue
249,'cluster
250,'cmc
251,'cnbc
252,'coach
253,'cod
254,'cohesion
255,'coin
256,'collection
257,'color
258,'combo
259,'come
260,'commission
261,'commit
262,'comms
263,'communism
264,'community
265,'compassionate
266,'competition
267,'complacency
268,'comprehension
269,'concern
270,'concur
271,'conference
272,'conflate
273,'conflict
274,'congrats
275,'congratulation
276,'constand
277,'contact
278,'content
279,'contrary
280,'contribution
281,'control
282,'cookie
283,'cool
284,'corporate
285,'corporation
286,'cosmic
287,'count
288,'country
289,'court
290,'covid
291,'crap
292,'crazy
293,'create
294,'criminal
295,'crucial
296,'cruel
297,'crypto
298,'cuff
299,'cult
300,'culture
301,'cup
302,'current
303,'curry
304,'cut
305,'cutter
306,'cuz
307,'daddy
308,'damage
309,'damn
310,'dan
311,'dangle
312,'dark
313,'data
314,'days..
315,'dazzle
316,'dc
317,'de
318,'dealer
319,'death
320,'decide
321,'declare
322,'define
323,'delete
324,'delivery
325,'demonstration
326,'demure
327,'depends
328,'deploy
329,'desert
330,'deserve
331,'design
332,'desk
333,'desrve
334,'destroy
335,'destruction
336,'detail
337,'detention
338,'detroit
339,'device
340,'dewelpmet
341,'dey
342,'dictator
343,'die
344,'diesel
345,'diet
346,'different
347,'difficult
348,'din
349,'dinner
350,'dioxide
351,'dip
352,'direct
353,'direction
354,'discard
355,'discography
356,'discus
357,'discussion
358,'divlji
359,'dm
360,'dnt
361,'do
362,'dob
363,'doe
364,'dog
365,'donald
366,'donate
367,'donation
368,'donkey
369,'donor
370,'door
371,'doubt
372,'dpd
373,'draco
374,'dress
375,'dress..
376,'drum
377,'dude
378,'durov
379,'dya
380,'eagle
381,'ease
382,'eastern
383,'easy
384,'economic
385,'economics
386,'ed
387,'editor
388,'educate
389,'education
390,'eesharebba*sweet
391,'election
392,'element
393,'eliminate
394,'elite
395,'else=
396,'email
397,'embarrass
398,'embassy
399,'embodiment
400,'emotional
401,'encourage
402,'endanger
403,'energy
404,'enter
405,'entire
406,'environment
407,'episode
408,'epub
409,'equate
410,'espresso
411,'establishment
412,'eurovision
413,'ev
414,'even
415,'event
416,'every
417,'everybody
418,'evidence
419,'evil
420,'evm
421,'exact
422,'excellence
423,'excellent
424,'exchangebfor
425,'excite
426,'expand
427,'expect
428,'experience
429,'exposure
430,'express
431,'eye
432,'fact
433,'factor
434,'factory
435,'fair
436,'faith
437,'fan
438,'fatality
439,'fatherless
440,'faux
441,'favorite
442,'fazal
443,'fck
444,'feature
445,'federal
446,'fee
447,'feel
448,'fell
449,'female
450,'few
451,'fictional
452,'field
453,'fight
454,'fill
455,'fine
456,'finger
457,'fire
458,'first
459,'flag
460,'flaunt
461,'follow
462,'follower
463,'food
464,'fool
465,'force
466,'foretaste
467,'forget
468,'forward
469,'freak
470,'freedom
471,'freedom-morality
472,'fregrent*roseðŸ¥€bud
473,'fresh
474,'front
475,'frozen
476,'ft
477,'fuck
478,'fulfill
479,'funny
480,'future
481,'fwiw
482,'ga
483,'gate
484,'gaze
485,'gem
486,'gene
487,'general
488,'generation
489,'germany
490,'gesture
491,'get
492,'gf
493,'ghee
494,'giveaway
495,'glow
496,'gm
497,'go
498,'god
499,'good
500,'google
501,'gosh
502,'government
503,'graduation
504,'grande
505,'grater
506,'great
507,'greedy
508,'gt
509,'guaidÃ³
510,'guard
511,'guess
512,'guideline
513,'gunna
514,'guy
515,'h3ll
516,'ha
517,'hagiography
518,'hair/skin
519,'hand
520,'hang
521,'happen
522,'harassment
523,'hard
524,'hardy
525,'hashim
526,'hashtag
527,'hate
528,'haul
529,'have
530,'he
531,'health
532,'heart
533,'hell
534,'help
535,'help-
536,'hence
537,'henry
538,'hero
539,'hey
540,'hide
541,'high
542,'hilarious..
543,'him
544,'his
545,'history
546,'holy
547,'home
548,'homeland
549,'honesty
550,'honor
551,'hood
552,'hopeles
553,'hospital
554,'hot
555,'housewifisation
556,'how
557,'hug
558,'human
559,'humanity
560,'humter
561,'hussainØ¹
562,'husyanØ¹
563,'hypocrisy
564,'ibeji
565,'ice
566,'id
567,'idea
568,'idiot
569,'if
570,'ig
571,'illegal
572,'imam
573,'immune
574,'immunity
575,'impact
576,'improvement
577,'in
578,'include
579,'income
580,'incompetence
581,'increase
582,'india
583,'industry
584,'inflation
585,'inflation..
586,'influence
587,'info
588,'information
589,'infx
590,'ingredient
591,'initial
592,'injury
593,'inn
594,'insult
595,'interestingâ€¦
596,'interpersonal
597,'interview
598,'intimidation
599,'into
600,'invasion
601,'inversion
602,'ira
603,'iraq
604,'ireland
605,'islam
606,'iso
607,'israel
608,'israeli
609,'israelite
610,'issue
611,'istp
612,'it
613,'it..
614,'jacket
615,'jail
616,'jake
617,'january
618,'jerusalem
619,'job
620,'john
621,'joke
622,'judea
623,'juror
624,'just
625,'jyl
626,'jzx
627,'keep
628,'kenyatta
629,'kick
630,'kid
631,'kill
632,'killer
633,'kim
634,'kitchen
635,'kleptocrat
636,'know
637,'kremlin
638,'kyrie
639,'l1
640,'lace
641,'lady..
642,'lamothe
643,'lamp
644,'land
645,'landscape
646,'last
647,'late
648,'later
649,'lavine
650,'law
651,'lb
652,'leaflet
653,'league
654,'learn
655,'leb
656,'legacy
657,'legs
658,'lenin
659,'leon
660,'lesnar
661,'less
662,'let
663,'levy
664,'lexus
665,'libya
666,'lie
667,'liffey
668,'light
669,'lightsaber
670,'limit
671,'link
672,'lion
673,'listener
674,'litre
675,'little
676,'live2d
677,'lmfaooo
678,'lmgaooo
679,'lmk
680,'logic
681,'lol
682,'long
683,'look
684,'lose
685,'lot
686,'love
687,'low
688,'loyalty
689,'lp
690,'lucky
691,'ma
692,'mad
693,'maduro
694,'mafia..
695,'magic
696,'mahalo
697,'majority
698,'make
699,'maker
700,'makeup
701,'man
702,'manage
703,'manager
704,'mar
705,'march
706,'market
707,'marsy
708,'martha
709,'marvel
710,'mask
711,'mate
712,'matter
713,'max
714,'may
715,'maybe
716,'maybelline
717,'mb
718,'mbl
719,'mbti
720,'mcap
721,'mclane
722,'md
723,'me
724,'meanwhile
725,'mediator
726,'men
727,'mental
728,'mention
729,'mess
730,'message
731,'metric
732,'michigama
733,'middle
734,'midnight
735,'might
736,'militia
737,'million
738,'millionaire
739,'mine
740,'mini
741,'minimum
742,'miranda
743,'missouri
744,'mobility
745,'model
746,'modern
747,'mom
748,'money
749,'monkey
750,'monster
751,'month
752,'mop/bucket
753,'moral
754,'morality
755,'moran
756,'morph
757,'mount
758,'move
759,'movirbloc
760,'mpg
761,'mug
762,'multi
763,'munition
764,'must
765,'mutant
766,'mvp
767,'mxtx
768,'my
769,'natick
770,'nation
771,'national
772,'nato
773,'natos
774,'nature
775,'neck
776,'net
777,'network
778,'new
779,'new/fresh
780,'news
781,'nft
782,'nice
783,'nicholas
784,'nick
785,'nigeria
786,'night
787,'nimrod
788,'no
789,'nobivac
790,'noble*honours
791,'nominate
792,'nora
793,'nordman
794,'noriko
795,'normal
796,'not
797,'notification
798,'now
799,'noww
800,'nude
801,'number
802,'nwt
803,'occupation
804,'occupy
805,'od
806,'odinga
807,'off
808,'official
809,'oh
810,'ohhh
811,'oil
812,'ok
813,'okay
814,'omgs
815,'omicron
816,'on
817,'onto
818,'oodles
819,'opb
820,'opec
821,'open
822,'operate
823,'operation
824,'opportunity
825,'option
826,'org
827,'organization
828,'original
829,'others
830,'outside
831,'overlook
832,'overnight
833,'owe
834,'page
835,'pair
836,'pakistan
837,'panel
838,'par
839,'parent
840,'part
841,'participant
842,'pas
843,'passage
844,'patience
845,'patient
846,'pave
847,'pavel
848,'pay
849,'peace
850,'peddle
851,'pension
852,'pentagon
853,'peoniesandcedarwood
854,'people
855,'pepper
856,'per
857,'perhaps
858,'perpetrator
859,'person
860,'personal
861,'petrol
862,'phase
863,'pi
864,'piece
865,'pine
866,'pity
867,'planet
868,'plauinngw
869,'player
870,'please
871,'pledge
872,'ploy
873,'pls
874,'po
875,'pocket
876,'point
877,'poll
878,'pool
879,'poop
880,'poor
881,'pop
882,'portrait
883,'posco
884,'posh
885,'position
886,'possibility
887,'pow
888,'powertrains
889,'prayer
890,'prayers*from*innocent
891,'presence
892,'president
893,'presidential
894,'pretzel
895,'price
896,'print
897,'prison
898,'private
899,'privilege
900,'pro
901,'problem
902,'product
903,'professional
904,'program
905,'project
906,'promoter
907,'proper
908,'protect
909,'provide
910,'puff
911,'pure
912,'push
913,'pussy
914,'putin
915,'putler
916,'qtr
917,'quakenbush
918,'quality
919,'qualm
920,'question
921,'quickly
922,'quit
923,'quite
924,'racism
925,'raid
926,'ramen
927,'random
928,'range
929,'rate
930,'reach
931,'reactingâ€¦
932,'reality
933,'reason
934,'rebuild
935,'record
936,'reduce
937,'reef
938,'refferences
939,'reffitt
940,'reflect
941,'regime
942,'register
943,'registration
944,'reject
945,'relate
946,'relation
947,'relax
948,'relaxed
949,'release
950,'relent
951,'relic
952,'remember
953,'rep
954,'replace
955,'require
956,'requirement
957,'research
958,'reserve
959,'resistance
960,'respect
961,'restriction
962,'result
963,'retha
964,'retire
965,'rf
966,'rgr
967,'richard
968,'rifle
969,'right
970,'rob
971,'roblox
972,'robot
973,'rocket
974,'roll
975,'room
976,'rq
977,'run
978,'russe
979,'rust
980,'ruzzians
981,'safe
982,'safety
983,'sahira
984,'sailor
985,'saint
986,'salani
987,'salary
988,'sale
989,'sam
990,'samaria
991,'samuel
992,'sanction
993,'sans
994,'savannah
995,'save
996,'saw
997,'say
998,'sc
999,'scare
1000,'scene
1001,'schedule
1002,'schmidt
1003,'school
1004,'school..
1005,'sciatica
1006,'science
1007,'scotiabank
1008,'scoundrel
1009,'scrap
1010,'se
1011,'season
1012,'secure
1013,'security
1014,'see
1015,'seem
1016,'semitism
1017,'send
1018,'senior
1019,'serial
1020,'service
1021,'set
1022,'settler
1023,'sex
1024,'sexy
1025,'sha
1026,'sha3
1027,'share
1028,'shark
1029,'shazam
1030,'shazams
1031,'she
1032,'shield
1033,'shirt
1034,'shock
1035,'short
1036,'show
1037,'shut
1038,'sick
1039,'side
1040,'silence
1041,'simulation
1042,'since
1043,'single
1044,'site
1045,'situation
1046,'skull
1047,'slavery
1048,'sleeve
1049,'slight
1050,'slip
1051,'slowly
1052,'smith
1053,'so
1054,'social
1055,'society
1056,'solidity
1057,'solution
1058,'some
1059,'song
1060,'sooner
1061,'soooo
1062,'sorry
1063,'soulja
1064,'spaghetti
1065,'speak
1066,'special
1067,'specific
1068,'spencer
1069,'spice
1070,'spiral
1071,'spirit
1072,'sponsor
1073,'sport
1074,'spot
1075,'spyro
1076,'staff
1077,'stand
1078,'start
1079,'state
1080,'stay
1081,'stepan
1082,'still
1083,'stop
1084,'story
1085,'strand
1086,'strength
1087,'stress
1088,'strong
1089,'struggle
1090,'studio
1091,'subcontinent
1092,'subjection
1093,'subjugation
1094,'suck
1095,'summit
1096,'super
1097,'superior
1098,'suplex
1099,'supply
1100,'support
1101,'sure
1102,'suspect
1103,'swap
1104,'sweet
1105,'syria
1106,'system
1107,'t
1108,'t*rrorism.we
1109,'tablet
1110,'tackle
1111,'taehyung
1112,'take
1113,'talent
1114,'target
1115,'tarka
1116,'taskbar
1117,'taste
1118,'taut
1119,'tea
1120,'teammate
1121,'technology
1122,'tee
1123,'teenager
1124,'telegram
1125,'tell
1126,'teller
1127,'temp
1128,'tf
1129,'tfg
1130,'thai
1131,'than
1132,'thank
1133,'thanks
1134,'theatre..
1135,'them
1136,'then
1137,'therapy
1138,'there
1139,'thermobaric
1140,'they
1141,'think
1142,'this
1143,'those
1144,'three
1145,'thru
1146,'tiktok
1147,'time
1148,'tip
1149,'tip/donate
1150,'to
1151,'toe
1152,'tolerance
1153,'tonight
1154,'too
1155,'tool
1156,'top
1157,'transition
1158,'transitory
1159,'transportation
1160,'tresspassors
1161,'tricky
1162,'troop
1163,'trot
1164,'truck
1165,'trudeau
1166,'trump
1167,'try
1168,'tucker
1169,'turd
1170,'tweet
1171,'twitter
1172,'two
1173,'tx
1174,'txn
1175,'typewriter
1176,'uk
1177,'ukr
1178,'ukraine
1179,'unassertiveness
1180,'understand
1181,'until
1182,'up
1183,'ursula
1184,'usa
1185,'user
1186,'vaccinate
1187,'vat
1188,'venezuela
1189,'verdict
1190,'very
1191,'via
1192,'vibe
1193,'video
1194,'vince
1195,'vindman
1196,'violate
1197,'vista
1198,'vital
1199,'vjetre
1200,'voice
1201,'vol
1202,'volunteer
1203,'vortex
1204,'vos
1205,'wait
1206,'wake
1207,'wallet
1208,'want
1209,'war
1210,'waste
1211,'way
1212,'we
1213,'weak
1214,'weakness
1215,'well
1216,'wheel
1217,'when
1218,'while
1219,'white
1220,'who
1221,'whole
1222,'whose
1223,'why
1224,'will
1225,'win
1226,'winner
1227,'winter
1228,'wip
1229,'wise
1230,'with
1231,'within
1232,'witness
1233,'woman
1234,'wood
1235,'word
1236,'work
1237,'world
1238,'worry
1239,'wrap
1240,'wrestle
1241,'wrestler
1242,'write
1243,'wrong
1244,'wtf
1245,'wwe
1246,'wwii
1247,'xpw/ecw
1248,'ya
1249,'yeah
1250,'yellow
1251,'yes
1252,'yessir
1253,'yet
1254,'yikes
1255,'you
1256,'you.s
1257,'young
1258,'youth
1259,'yrs
1260,'yt
1261,'yukes
1262,'zach
1263,'zainabØ³.â¤ï¸
1264,'zainabØµ
1265,'zdmn
1266,'zelensky
1267,'zisa
1268,'zitti
1269,'|waawiiyaatanong
1270,'||
1271,'|âˆ†|
1272,'Ø¹
1273,'âœ…
1274,'âˆ†nkh
1275,'ðŸ¤£
1276,'ðŸ¥
1277,'ðŸ¥ðŸ¥ðŸ¥ðŸ¥ðŸ¥
1278,'ðŸ¥°
1279,'ðŸ¥º
1280,'ðŸ§ðŸ§ðŸ§
1281,'ðŸŒ¹ðŸˆðŸŒ¹
1282,'ðŸŒŽ
1283,'ðŸŒˆðŸŒˆ
1284,'ðŸš€
1285,'ðŸš€ðŸš€ðŸš€
1286,'ðŸš€ðŸš€ðŸš€ðŸš€
1287,'ðŸŽ·ðŸŽ·ðŸŽ·ðŸŽ·ðŸŽ·â€¢
1288,'ðŸŽ¸â€¢
1289,'ðŸŽ¹ðŸŽ¹ðŸŽ¹ðŸŽ¹ðŸŽ¹
1290,'ðŸ˜Ž
1291,'ðŸ˜‚
1292,'ðŸ˜‹
1293,'ðŸ‡¦ðŸ‡¿
1294,'ðŸ‡§ðŸ‡ª
1295,'ðŸ‡¬ðŸ‡ª
1296,'ðŸ‡¬ðŸ‡·
1297,'ðŸ‡­ðŸ‡·
1298,'ðŸ‡®ðŸ‡¹
1299,'ðŸ‡±ðŸ‡¹
1300,'ðŸ‡³ðŸ‡±
1301,'ðŸ‡³ðŸ‡´
1302,'ðŸ‡ºðŸ‡¦
1303,'ðŸ™ðŸˆðŸŒ¹ðŸŒ¹ðŸŒŸ
1304,'ðŸ™ðŸŒŸðŸŒ¹ðŸˆðŸ™
1305,[
1306,\u200dâ™€ï¸ðŸ¤£ðŸ
1307,\u200dðŸ
1308,]
1309,c'mon
1310,e
1311,get
1312,h-back
1313,i
1314,o
1315,p
1316,p.s
1317,r
1318,v
1319,w/
1320,w/out
1321,ðŸ
1322,£
1323,¨ðŸ
1324,©
1325,¯
1326,°multi
1327,»
1328,Â£50
1329,Â°
1330,Â·
1331,â¤ï¸to
1332,â˜®ï¸
1333,â˜ºï¸
1334,â‚¬100.73
1335,â‚¬189.90
1336,â€
1337,â€
1338,â€¢
1339,â€¦
1340,â€¦we
1341,â€œ
1342,â€™
1343,â™¥ï¸
1344,š
1345,šðŸ
1346,Ž1000x
1347,ˆ
1348,—
1349,‘
1350,’
1351,“
1352,”
1353,‰
1354,›
1355,€
